DocNr,%
2049,0.15341283
2061,0.19377266
2063,0.32617494
2065,0.16507448
2066,0.14189154
2067,0.22435696
2074,0.46007732
2078,0.10535969
2081,0.10702259
2082,0.106867634
2085,0.26027933
2087,0.18700203
2089,0.13468908
2100,0.14128883
2102,0.608564
2109,0.1619666
2113,0.15600468
2133,0.6342984
2137,0.10181783
2138,0.14586554
2141,0.114799395
2142,0.133482
2143,0.52003765
2144,0.2872629
2145,0.39108795
2146,0.45539474
2149,0.14075024
2152,0.22780484
2155,0.103748396
2158,0.24875729
2166,0.5640522
2168,0.11399621
2173,0.14157994
2174,0.11490584
2176,0.112755105
2186,0.12047778
2190,0.1381355
2200,0.102508955
2202,0.18451798
2204,0.102529325
2219,0.2787881
2220,0.10329076
2224,0.12716857
2225,0.10825457
2230,0.46159485
2233,0.10414513
2238,0.2529036
2239,0.15354465
2240,0.21583447
2242,0.122744925
2251,0.15200774
2255,0.16196111
2258,0.1508152
2263,0.15264735
2267,0.14216448
2268,0.16191228
2272,0.16769499
2273,0.28205618
2274,0.15433006
2276,0.15260705
2277,0.13178346
2278,0.131761
2280,0.12370277
2281,0.10652656
2284,0.12346506
2296,0.116768435
2297,0.26768515
2302,0.19082424
2304,0.21310045
2310,0.14476156
2332,0.12478584
2343,0.15381701
2345,0.27132946
2360,0.26280156
2396,0.116069406
2398,0.10026212
2417,0.13206372
2438,0.38659805
2489,0.17839281
2660,0.10007973
2681,0.15318498
2686,0.26000464
2747,0.19262843
3001,0.119941026
3056,0.11978589
3090,0.14109525
3308,0.1996773
3341,0.17775689
3461,0.20952584
3681,0.12551066
3890,0.13156453
3895,0.13158025
3897,0.113709725
3902,0.16973937
3917,0.10374857
3945,0.16487665
3947,0.17316072
3965,0.21439666
3968,0.125257
3974,0.28367296
3990,0.14778917
3995,0.26566845
4003,0.22284184
4013,0.26599303
4040,0.1223877
4049,0.27757004
4082,0.11686002
4100,0.10927484
4110,0.11896339
4113,0.1096606
4327,0.22943768
4421,0.230884
4540,0.32281473
4696,0.18392433
4723,0.18232921
4973,0.23615447
4990,0.17679736
4991,0.16628416
5005,0.15955792
5007,0.2520225
5008,0.12810817
5020,0.24101779
5023,0.34676167
5025,0.33236006
5026,0.21443444
5043,0.10094693
5047,0.100606576
5049,0.27719954
5055,0.12805693
5063,0.15807436
5067,0.38563633
5087,0.14751089
5091,0.1321574
5098,0.12689044
5099,0.14024477
5104,0.105593376
5110,0.119898155
5114,0.11305179
5117,0.14608641
5120,0.14404228
5128,0.17149729
5131,0.1420543
5132,0.2229645
5140,0.59459263
5142,0.11265868
5164,0.1124161
5169,0.14791152
5170,0.10365334
5172,0.101622075
5173,0.15287107
5175,0.101306915
